source,section,sentence_count,leave_one_out_centroid_cosine,mean_pairwise_cosine,nearest_neighbor_purity,nearest_neighbor_chance,nearest_neighbor_excess,mean_silhouette
skill,plain [1],4,0.5455543381775516,0.4226594116687232,0.5,0.007894736842105263,0.4921052631578947,0.0708450863729596
skill,Subagent-Driven Development [2],13,0.5011018687905942,0.29848994253972816,0.23076923076923078,0.031578947368421054,0.19919028340080974,-0.07317078289127085
skill,When to Use [2.1],32,0.537938209046191,0.30983112422357967,0.625,0.08157894736842106,0.5434210526315789,-0.04035075575907637
skill,The Process [2.2],43,0.5886197316875675,0.3604696255333411,0.7906976744186046,0.11052631578947368,0.6801713586291309,-0.10418360936695134
skill,Pre-Flight Plan Review [2.3],10,0.462926333351488,0.27549311426344586,0.1,0.02368421052631579,0.07631578947368421,-0.05967493021675947
skill,Model Selection [2.4],27,0.5292324044470074,0.3042638470764976,0.7037037037037037,0.06842105263157895,0.6352826510721248,-0.004888704117729977
skill,Handling Implementer Status [2.5],17,0.5269239976331345,0.3149725102845071,0.5294117647058824,0.042105263157894736,0.4873065015479876,-0.036258845891551365
skill,Handling Reviewer ⚠️ Items [2.6],7,0.5211896462314579,0.351510428512557,0.0,0.015789473684210527,-0.015789473684210527,-0.03131973196740177
skill,Constructing Reviewer Prompts [2.7],64,0.5153662805614685,0.2764682954437978,0.328125,0.16578947368421051,0.16233552631578949,-0.08985610050369863
skill,File Handoffs [2.8],28,0.5324269668194912,0.3066263510654897,0.35714285714285715,0.07105263157894737,0.2860902255639098,-0.04465551156141415
skill,Durable Progress [2.9],20,0.4994849009402767,0.28231189133466644,0.35,0.05,0.3,-0.021690834973711826
skill,Prompt Templates [2.10],3,0.6136830148661735,0.5327229025535973,0.0,0.005263157894736842,-0.005263157894736842,0.19249266664126027
skill,Example Workflow [2.11],46,0.5336661855861746,0.2993345262057018,0.7608695652173914,0.11842105263157894,0.6424485125858124,-0.10447259564585443
skill,Advantages [2.12],25,0.53823829153936,0.3153913542138971,0.48,0.06315789473684211,0.4168421052631579,-0.0649718865031385
skill,Red Flags [2.13],33,0.5424889465852174,0.31380167979761686,0.24242424242424243,0.08421052631578947,0.15821371610845297,-0.11335312277651424
skill,Integration [2.14],9,0.597746027384276,0.4182508048238527,0.4444444444444444,0.021052631578947368,0.42339181286549704,0.02790452744956641
babilong qa1:42,plain [1],3,0.47748577741023074,0.39925264775345354,0.6666666666666666,0.0029455081001472753,0.6637211585665194,0.10026762495867787
babilong qa1:42,example [2],5,0.5672927681817864,0.4200542352437428,0.4,0.005891016200294551,0.3941089837997055,0.12747233479415315
babilong qa1:42,example [3],6,0.5578742043966259,0.3955037241561904,0.6666666666666666,0.007363770250368188,0.6593028964162985,0.08746827995531763
babilong qa1:42,plain [4],2,0.19238728398513089,0.19238728398513083,0.0,0.0014727540500736377,-0.0014727540500736377,-0.15714399685258773
babilong qa1:42,context [5],663,0.44843118709300833,0.20227740465477476,0.9939668174962293,0.9749631811487481,0.019003636347481145,0.01791223287902295
babilong qa1:42,plain [6],1,nan,nan,0.0,0.0,0.0,0.0
